store,sido,gungu
천안신방점,충남,천안시
송탄신장점,경기,평택시
낙산사점,강원,양양군
목포MBC점,전남,목포시
블루원콘도점,경북,경주시
선산(상)휴게소점,경북,구미시
남성역점,서울,동작구
포항송도점,경북,포항시
창녕남지점,경남,창녕군
암사롯데캐슬점,서울,강동구
중동두산위브점,경기,부천시
인천청라2호점,인천,서구
김해공항점,부산,강서구
여주중앙점,경기,여주시
충남서천점,충남,서천군
경주CC점,경북,경주시
대천해수욕장점,충남,보령시
서산르셀점,충남,서산시
시흥장곡점,경기,시흥시
고덕역 카페베네 (카페베네 고덕역점),서울,강동구
청통(상)휴게소점,경북,영천시
와촌(하)휴게소점,경북,경산시
한화리조트경주점,경북,경주시
충북금왕점,충북,음성군
운서역점,인천,중구
천안신부점,충남,천안시
천안아산역점,충남,아산시
남춘천역점,강원,춘천시
평택소사벌점,경기,평택시
삼송하나로마트점,경기,고양시
경희대점,서울,동대문구
김해공항1층점,부산,강서구
포항CGV점,경북,포항시
명일역점,서울,강동구
알펜시아점,강원,평창군
인천논현역점,인천,남동구
광양터미널점,전남,광양시
부산학장점,부산,사상구
경주주상절리점,경남,경주시
충남도청점,충남,홍성군
울산우정혁신도시점,울산,복산동
대구보건대점,대구,북구
인천가좌점,인천,서구
광주유스퀘어점,광주,서구
거여역점,서울,송파구
홍천강휴게소점,강원,홍천군
춘천온의점,강원,춘천시
서산동문점,충남,서산시
대구장기점,대구,달서구
운천터미널점,경기,포천시
경주노동아카데미점,경남,경주시
함평무안(하)휴게소점,전남,함평군
일산라페스타점,경기,고양시
서울대병원(가든뷰)점,서울,종로구
강원대학교병원점,강원,춘천시
알펜시아오션700점,강원,평창군
한국지질자원연구원점,대전,유성구
군산시청점,전북,군산시
별내역점,경기,남양주시
부산민락점,부산,수영구
강원양구점,강원,양구군
부산주례점,부산,사상구
비스포레센터점,서울,은평구
화곡중앙점,서울,강서구
진주평거점,경남,진주시
전주아중리점,전북,전주시
울산세이브존점,울산,남구
안동정하점,경북,안동시
장안점,서울,동대문구
거제축협점,경남,거제시
송도해수욕장점,부산,서구
익산부송점,전북,익산시
전남무안점,전남,무안군
구미형곡점,경북,구미시
충북허브시티점,충북,영동군
별내메이호텔점,경기,남양주시
대전가장점,대전,서구
제주엠스테이호텔점,제주특별자치도,서귀포시
경주동국대점,경북,경주시
미아사거리역점,서울,강북구
의정부동부점,경기,의정부시
울산동천강점,울산,중구
양산덕계평산점,경남,양산시
태종대점,부산,영도구
울진읍내리점,경북,울진군
전남강진점,전남,강진군
군산은파호수점,전북,군산시
서산(하)휴게소점,충남,서산시
전주혁신도시점,전북,전주시
경남거창점,경남,거창군
거제수양점,경남,거제시
울산대왕암공원점,울산,동구
안산선부롯데점,경기,안산시
백령도점,인천,옹진군
광주수완1호점,광주,광산구
서귀포의료원점,제주특별자치도,서귀포시
강릉휴게소점,강원,강릉시
울산남구청점,울산,남구
영천시청점,경북,영천시
거제학동점,경남,거제시
남원춘향점,전북,남원시
성남신흥점,경기,성남시
대구아카데미점,대구시,중구
아산음봉레이크시티점,충남,아산시
동강휴게소1호점,강원,영월군
동강휴게소2호점,강원,영월군
인천구월CGV점,인천,남동구
창원대학 카페베네 (창원대학점),경남,창원시
구호전장례식장 카페베네 (구호전장례식장점),광주,북구
부산부암메리움 카페베네 (부산부암메리움점),부산,부산진구
전곡터미널 카페베네 (전곡터미널점),경기,연천군
