store,sido,gungu
안산성포점,경기,안산시
안성한경대점,경기,안성시
압구정로데오점,서울,강남구
압구정본점,서울,강남구
압구정점,서울,강남구
야당역점,경기,파주시
양산부산대점,경남,양산시
양산신도시점,경남,양산시
양산증산역점,경남,양산시
양산트레이더스점,경남,양산시
양재위메스점,서울,서초구
양정파드스테이션점  ,부산,부산진구
양천향교역점,서울,강서구
양평(광주)휴게소,경기,양평군
양평(원주)휴게소,경기,양평군
어린이대공원점,서울,광진구
어반아트리움 더센트럴점,세종특별자치시,나성로
언데드소사점,경기,평택시
언양(상)휴게소,울산,울주군
언주로점,서울,강남구
여수돌산점,전남,여수시
여수점,전남,여수시
여주(강릉)휴게소,경기,여주시
여주(상)휴게소,경기,여주시
역삼2호점,서울,강남구
역삼GS타워점,서울,강남구
연산점,부산,연제구
염창본점,서울,강서구
염창역점,서울,양천구
영동대로점,서울,강남구
영등포시장역점,서울,영등포구
영등포역점,서울,영등포구
영산 휴게소,경남,창년군
영산 휴게소(2),경남,창녕군
영천(대구)휴게소,경북,영천시
영천(포항)휴게소,경북,영천시
예산(대전)휴게소,충남,예산군
오리역점,경기,성남시
오수(광양)휴게소,전북,임실군
오수(전주)휴게소,전북,임실군
오창(상)휴게소,충북,청주시
올림픽남문점,서울,송파구
올림픽서린점,서울,강동구
왕산해수욕장점,인천,중구
용산문배점,서울,용산구
용산아이파크몰점,서울,용산구
용산전자랜드점,서울,용산구
용인구성점,경기,용인시
용인중앙점,경기,용인시
울산남외점,울산,중구
울산달동점,울산,남구
울산일산해수욕장점,울산,동구
울산자생한방병원점,울산,남구
울산호계점,울산,북구
웅진플레이도시점,경기,부천시
원주혁신점,강원,원주시
율동공원 키즈점,경기,성남시
율동공원점,경기,성남시
을지대점,경기,성남시
을지로3가점,서울,중구
음성(통영)휴게소,충북,음성군
응암점,서울,은평구
의정부 휴게소,경기,의정부시
의정부점,경기,의정부시
이서(상)휴게소,전북,완주군
이서(순천)휴게소,전북,완주군
이천(상)휴게소,경기,이천시
이천점,경기,이천시
이촌역점  ,서울,용산구
인덕대점,서울,노원구
인삼랜드(하),충남,금산군
인천로얄호텔점,인천,남동구
인천서구청점,인천,서구
인천석남점,인천,서구
인천송도점,인천,연수구
인천신포점,인천,중구
인천연수점,인천,연수구
인천인하대학교점,인천,남구
인천주안점,인천,미추홀구
인천청라점,인천,서구
일산레이킨스몰점,경기,고양시
일산화정점,경기,고양시
일원점,서울,강남구
입장(상)휴게소,충남,천안시
자유로 휴게소,경기,파주시
잠실새내역점,서울,송파구
장안1호점,서울,동대문구
장한평역점,서울,동대문구
장흥토요시장점,전남,장흥군
전주삼천점,전북,전주시
전주서신점,전북,전주시
전주송천점,전북,전주시
전주신시가지점,전북,전주시
전주아중점,전북,전주시
전주에코시티점,전북,전주시
전주중앙점,전북,전주시
전주평화점,전북,전주시
전주호성점,전북,전주시
정릉점,서울,성북구
정안(상)휴게소,충남,공주시
정안(하)휴게소,충남,공주시
정왕점,경기,시흥시
정읍(상)휴게소,전북,정읍시
정읍(하)휴게소,전북,정읍시
정읍점,전북,정읍시
정자역점,경기,성남시
정자카페거리점,경기,성남시
제주삼화지구,제주,제주시
제주시청점,제주,제주시
제주아라점 ,제주특별자치도,제주시
제주칠성점,제주특별자치도,제주시
제천점,충북,제천시
조선대학교점,광주,동구
종로5가점,서울,종로구
종로본점,서울,종로구
주암(순천)휴게소,전남,순천시
주암(천안)휴게소,전남,순천시
죽암(부산)휴게소,충북,청원군
죽전(서울)휴게소,경기,용인시
중랑구청점,서울,중랑구
중앙대점,서울,동작구
진영(부산)휴게소,경남,김해시
진영(순천)휴게소,경남,김해시
창동점,서울,도봉구
창원감계점,경남,창원시
창원대방점,경남,창원시
창원명곡로터리점,경남,창원시
창원북면점,경남,창원시
창원상남점,경남,창원시
천안(부산)휴게소,충남,천안시
천안단국대호수점,충남,천안시
천안두정점,충남,천안시
천안백석점,충남,천안시
천안불당점,충남,천안시
천안삼거리(서울)휴게소,충남,천안시
천안삼거리점,충남,천안시
천안에비뉴점,충남,천안시
천안점,충남,천안시
천호로데오점,서울,강동구
청담2호점,서울,강남구
청도(대구)휴게소,경북,청도군
청도(부산)휴게소,경북,청도군
청라지젤점,인천,서구
청원(상),충북,청주시
청주(서울)휴게소,충북,청주시
춘천운교점,강원,춘천시
충주(양평)휴게소,충북,충주시
충주(하)휴게소,충북,충주시
칠곡(상)휴게소,경북,칠곡군
칠곡(하)휴게소,경북,칠곡군
탄천(하)휴게소,충남,공주시
탐스커버리 건대점,서울,광진구
탐스커버리 광진화양점,서울,광진구
탐스커버리 금천본점,서울,금천구
탐스커버리 도산로점,서울,강남구
탐스커버리 동성로점,대구,중구
탐스커버리 아셈타워점,서울,강남구
탐스커버리 전주점,전북,전주시
탐스커버리 중앙점,부산,중구
