,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
69,13.0,2.0,2.0,14.0,5.0,20.0,6.0,27.0,135140.0,3725125.086
70,2.0,2.0,1.0,2.0,0.0,2.0,2.0,8.0,65216.0,3359765.5889999997
71,3.0,1.0,1.0,4.0,4.0,12.0,6.0,19.0,80803.0,3764093.4489999996
72,3.0,2.0,1.0,1.0,2.0,5.0,2.0,12.0,93842.0,3228054.7610000004
73,6.0,2.0,1.0,5.0,1.0,3.0,4.0,15.0,93071.0,3467872.873
74,7.0,3.0,3.0,8.0,4.0,0.0,4.0,17.0,134616.0,3452126.0689999997
75,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,30711.0,2474623.726
76,3.0,6.0,2.0,33.0,9.0,21.0,17.0,0.0,432730.0,3081201.329
77,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,21398.0,4461667.137
78,1.0,0.0,4.0,9.0,3.0,7.0,6.0,10.0,126096.0,2870464.901
79,1.0,0.0,5.0,2.0,0.0,3.0,6.0,10.0,156379.0,2433615.779
80,0.0,1.0,1.0,3.0,3.0,12.0,3.0,15.0,79667.0,2725997.92
81,1.0,1.0,0.0,4.0,1.0,10.0,6.0,8.0,109645.0,2989044.14
82,2.0,1.0,0.0,9.0,4.0,22.0,4.0,21.0,173966.0,2777451.137
83,0.0,7.0,8.0,7.0,3.0,8.0,9.0,39.0,275986.0,2575302.768
84,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,42971.0,2134931.245
85,4.0,8.0,2.0,14.0,3.0,22.0,9.0,49.0,339962.0,2541060.805
86,13.0,4.0,12.0,41.0,10.0,16.0,11.0,0.0,400001.0,3751599.25
87,9.0,3.0,8.0,28.0,18.0,44.0,14.0,0.0,498302.0,3272525.818
88,2.0,1.0,5.0,5.0,4.0,24.0,9.0,29.0,193706.0,2470763.712
89,4.0,2.0,4.0,9.0,4.0,18.0,31.0,35.0,277306.0,2483339.419
90,1.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,81415.0,2491998.792
91,4.0,2.0,2.0,14.0,5.0,28.0,11.0,30.0,223027.0,3096329.313
92,0.0,9.0,8.0,12.0,8.0,10.0,11.0,56.0,92959.0,2236043.711
93,0.0,0.0,2.0,1.0,0.0,1.0,1.0,6.0,55712.0,2826538.1760000004
94,0.0,2.0,4.0,3.0,1.0,0.0,2.0,3.0,50296.0,2391649.149
95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21605.0,2487537.317
96,2.0,1.0,0.0,4.0,4.0,8.0,5.0,7.0,94582.0,2749961.038
97,2.0,2.0,6.0,25.0,7.0,13.0,11.0,0.0,405560.0,3625786.8910000003
98,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,62020.0,3146900.645
99,2.0,2.0,3.0,10.0,3.0,9.0,5.0,36.0,190466.0,2338591.624
100,0.0,1.0,2.0,5.0,3.0,6.0,8.0,11.0,92434.0,2952201.66
101,1.0,2.0,4.0,6.0,3.0,20.0,6.0,18.0,191594.0,2750713.526
102,4.0,4.0,5.0,5.0,3.0,26.0,11.0,17.0,224892.0,2844974.272
103,0.0,2.0,1.0,2.0,1.0,3.0,1.0,9.0,69985.0,2096587.199
104,0.0,0.0,4.0,10.0,2.0,5.0,1.0,20.0,115113.0,3041970.577
105,3.0,2.0,3.0,13.0,14.0,36.0,16.0,36.0,326111.0,3489764.6180000002
106,3.0,3.0,3.0,4.0,2.0,5.0,1.0,13.0,98949.0,2586268.275
107,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,14419.0,2395433.205
108,0.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,41071.0,2829977.978
109,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,34275.0,2750103.316
110,2.0,2.0,0.0,3.0,1.0,2.0,2.0,7.0,38658.0,2452133.191
111,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10896.0,2783187.0930000003
112,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,14067.0,2399151.124
113,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,21031.0,2686249.798
114,4.0,4.0,3.0,6.0,7.0,10.0,7.0,17.0,154039.0,2705548.6810000003
115,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,15565.0,2782345.059
116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19972.0,2567742.394
117,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,21196.0,2626394.122
118,3.0,5.0,3.0,6.0,1.0,7.0,5.0,26.0,122630.0,2725947.127
119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21805.0,2861439.981
120,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,21399.0,2387786.4680000003
121,0.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,33100.0,2479670.299
122,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12600.0,2727249.95
123,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,22857.0,2329740.341
124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20753.0,2368579.692
125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15221.0,2488114.875
126,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16680.0,2423046.858
127,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,24563.0,2399432.081
128,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,23951.0,2320230.201
129,1.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,46307.0,2349083.425
130,1.0,0.0,1.0,1.0,0.0,1.0,2.0,7.0,63373.0,2571200.7830000003
131,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,17265.0,2563045.4069999997
132,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,37085.0,2484440.77
133,19.0,2.0,3.0,15.0,13.0,19.0,10.0,41.0,359895.0,2926542.1739999996
134,3.0,0.0,2.0,4.0,1.0,3.0,4.0,6.0,95409.0,2566321.609
135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15993.0,3650648.672
136,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,50455.0,2553002.56
137,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,25508.0,2366363.982
138,0.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,57232.0,2348708.931
139,2.0,1.0,1.0,2.0,3.0,3.0,2.0,6.0,76150.0,2945638.296
140,1.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,48227.0,2565193.606
141,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,33308.0,2311234.871
142,2.0,4.0,4.0,2.0,0.0,3.0,5.0,10.0,76581.0,3303749.1610000003
143,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,26384.0,2521220.304
144,4.0,3.0,2.0,4.0,2.0,8.0,4.0,10.0,134959.0,3204097.242
145,0.0,1.0,1.0,0.0,0.0,4.0,2.0,3.0,38310.0,2340980.294
146,8.0,7.0,11.0,16.0,6.0,19.0,12.0,21.0,280762.0,3032610.5
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16190.0,2405502.446
148,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,32061.0,2611718.516
149,1.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,45999.0,2596865.565
150,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,28767.0,2431310.154
151,2.0,8.0,4.0,3.0,3.0,5.0,3.0,10.0,118140.0,2792908.295
152,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,41844.0,2208098.016
153,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,38393.0,2330832.576
154,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,12396.0,2342361.976
155,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,27417.0,2271641.279
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13779.0,2390553.674
157,1.0,0.0,2.0,0.0,0.0,1.0,1.0,5.0,41771.0,2655052.669
158,3.0,3.0,0.0,3.0,2.0,5.0,1.0,11.0,126820.0,2494518.7630000003
159,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,14627.0,2500712.577
160,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11301.0,2461693.8219999997
161,7.0,4.0,10.0,14.0,15.0,13.0,10.0,47.0,273441.0,2826436.67
162,0.0,0.0,3.0,1.0,0.0,1.0,1.0,4.0,53511.0,2337969.1890000002
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13108.0,2450454.312
164,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18346.0,2480191.2569999998
165,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,34746.0,2316060.736
166,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,15326.0,2680129.616
167,1.0,2.0,0.0,1.0,1.0,1.0,8.0,6.0,63909.0,3224482.2139999997
168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13058.0,2322761.58
169,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,56019.0,2612878.07
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23462.0,2536208.361
171,10.0,2.0,4.0,5.0,3.0,3.0,4.0,11.0,102364.0,2418871.272
172,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,36688.0,2783128.4310000003
173,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,22291.0,2401331.261
