store,sido,gungu
아산마트점,충남,아산시
에벤에셀빌딩점,서울,영등포구
KTX서울역플랫폼점,서울,중구
스틸랜드점,경기,시흥시
홍천점,강원,홍천군
광주시청로점,광주,서구
목포하당점,전남,목포시
(상)삼국유사군위휴게소점,경북,군위군
김천혁신도시점,경북,김천시
X-191130대구이월드점,대구,달서구
대구팔달교DT점,대구,서구
수원호매실역점,경기,수원시
진해경화점,경남,창원시
별내카페거리점,경기,남양주시
파주탄현점,경기,파주시
(상)안성휴게소점,경기,안성시
광주우산점,광주,광산구
군산수송점,전북,군산시
장승배기역점,서울,동작구
홍제역점,서울,서대문구
동탄호수공원점,경기,화성시
수원인계점,경기,수원시
영종하늘도시점,인천,중구
(하)옥천휴게소점,충북,옥천군
(춘)원주휴게소점,강원,원주시
경산휴게소점,경북,경산시
서대문역점,서울,서대문구
신림고시촌점,서울,관악구
(하)백양사휴게소점,전남,장성군
동부산우체국점,부산,동구
KTX광명역푸드코트점,경기,광명시
안산로데오점,경기,안산시
안성팜랜드점,경기,안성시
양산석산점,경남,양산시
양산원동점,경남,양산시
광주금호점,광주,서구
답십리점,서울,성동구
의정부로데오점,경기,의정부시
동대문역사문화공원점,서울,중구
인천엠파크허브점,인천,서구
나주빛가람혁신도시점,전남,나주시
목포상동점,전남,목포시
대구본리점,대구,달서구
대구월성CGV점,대구,달서구
명지국제신도시점,부산,강서구
유스퀘어CGV점,광주,서구
(상)칠곡휴게소점,경북,칠곡군
(하)칠곡휴게소점,경북,칠곡군
김해구산점,경남,김해시
광주오치점,광주,북구
광주운남점,광주,광산구
익산어양점,전북,익산시
전주백제대로점,전북,전주시
의정부민락점,경기,의정부시
수원팔달문점,경기,수원시
동천안우체국점,충남,천안시
(상)사천휴게소점,경남,사천시
(하)사천휴게소점,경남,사천시
부산대역점,부산,금정구
울산태화강공원점,울산,중구
전북도청점,전북,전주시
전북부안점,전북,부안군
별내북부역점,경기,남양주시
한양대시티빌점,서울,성동구
수원경희대점,경기,고양시
(부)원주휴게소점,강원,원주시
동해촛대바위점,강원,동해시
울산역사점,울산,울주군
이천점,경기,이천시
경산중방점,경북,경산시
울산공항1호점,울산,북구
울산공항2호점,울산,북구
포항장성점,경북,포항시
논현역점,서울,서초구
포이사거리점,서울,서초구
늘봄농원점,경기,고양시
광교테크노밸리점,경기,수원시
부산송도점,부산,서구
평택서재점,경기,평택시
(상)화성휴게소점,경기,화성시
(하)화성휴게소2호점,경기,화성시
(하)화성휴게소점,경기,화성시
원주단계택지점,강원,원주시
영광백수해안도로점,전남,영광군
X-191130진주혁신도시점,경남,진주시
수서점,서울,강남구
X-191125양주브이플러스점,경기,양주시
가재울점,서울,서대문구
수원오목천점,경기,수원시
분당미금점,경기,성남시
(상)군위휴게소점,경북,군위군
대구상인점,대구,달서구
원주혁신도시S타워점,강원,원주시
(논)탄천휴게소점,충남,공주시
양산신도시점,경남,양산시
전북대덕진광장점,전북,전주시
(상)지리산휴게소점,전북,남원시
(하)지리산휴게소점,전북,남원시
여수웅천점,전남,여수시
대구장기점,대구,달서구
(상)남성주휴게소점,경북,성주군
전북대병원점,전북,전주시
고속터미널영동선점,서울,서초구
개화산점,서울,강서구
(상)옥천휴게소점,충북,옥천군
청주율량현대점,충북,청주시
(서)죽전휴게소점,경기,용인시
세종어진점,세종특별자치시,세종시
대구동천점,대구,북구
(상)외동휴게소점,경북,경주시
부산다대포전망대점,부산,사하구
(하)남성주휴게소점,경북,성주군
부산대연점,부산,남구
