name,pop,income,,,,,,
충북 상당구,73731,2484440.77,,,,,,
충북 서원구,87147,2484440.77,,,,,,
충북 영동군,24563,2399432.081,,,,,,
충북 옥천군,23951,2320230.201,,,,,,
충북 음성군,46307,2349083.425,,,,,,
충북 제천시,63373,2571200.783,,,,,,
충북 증평군,17265,2563045.407,,,,,,
충북 진천군,37085,2484440.77,,,,,,
충북 청원구,84937,2484440.77,,,,,,
충북 청주시,359895,2926542.174,,,,,,
충북 충주시,95409,2566321.609,,,,,,
충북 흥덕구,114080,2484440.77,,,,,,
충남 계룡시,15993,3650648.672,,,,,,
충남 공주시,50455,2553002.56,,,,,,
충남 금산군,25508,2366363.982,,,,,,
충남 논산시,57232,2348708.931,,,,,,
충남 당진시,76150,2945638.296,,,,,,
충남 동남구,113242,2565193.606,,,,,,
충남 보령시,48227,2565193.606,,,,,,
충남 부여군,33308,2311234.871,,,,,,
충남 서북구,167520,2565193.606,,,,,,
충남 서산시,76581,3303749.161,,,,,,
충남 서천군,26384,2521220.304,,,,,,
충남 아산시,134959,3204097.242,,,,,,
충남 예산군,38310,2340980.294,,,,,,
충남 천안시,280762,3032610.5,,,,,,
충남 청양군,16190,2405502.446,,,,,,
충남 태안군,32061,2611718.516,,,,,,
충남 홍성군,45999,2596865.565,,,,,,
전북 고창군,28767,2431310.154,,,,,,
전북 군산시,118140,2792908.295,,,,,,
전북 김제시,41844,2208098.016,,,,,,
전북 남원시,38393,2330832.576,,,,,,
전북 덕진구,129850,2440882.233,,,,,,
전북 무주군,12396,2342361.976,,,,,,
전북 부안군,27417,2271641.279,,,,,,
전북 순창군,13779,2390553.674,,,,,,
전북 완산구,143591,2440882.233,,,,,,
전북 완주군,41771,2655052.669,,,,,,
전북 익산시,126820,2494518.763,,,,,,
전북 임실군,14627,2500712.577,,,,,,
전북 장수군,11301,2461693.822,,,,,,
전북 전주시,273441,2826436.67,,,,,,
전북 정읍시,53511,2337969.189,,,,,,
전북 진안군,13108,2450454.312,,,,,,
전남 강진군,18346,2480191.257,,,,,,
전남 고흥군,34746,2316060.736,,,,,,
전남 곡성군,15326,2680129.616,,,,,,
전남 광양시,63909,3224482.214,,,,,,
전남 구례군,13058,2322761.58,,,,,,
전남 나주시,56019,2612878.07,,,,,,
전남 담양군,23462,2536208.361,,,,,,
전남 목포시,102364,2418871.272,,,,,,
전남 무안군,36688,2783128.431,,,,,,
전남 보성군,22291,2401331.261,,,,,,
전남 순천시,116962,2960404.084,,,,,,
전남 신안군,21762,2553073.575,,,,,,
전남 여수시,123445,3246119.653,,,,,,
전남 영광군,26635,2758048.984,,,,,,
전남 영암군,27312,2277465.385,,,,,,
전남 완도군,25885,2400060.258,,,,,,
전남 장성군,22774,2559426.23,,,,,,
전남 장흥군,20142,2434196.365,,,,,,
전남 진도군,16095,2490810.054,,,,,,
전남 함평군,17815,2447775.391,,,,,,
전남 해남군,34794,2291116.083,,,,,,
전남 화순군,30003,2359691.605,,,,,,
경북 경산시,115195,2406601.577,,,,,,
경북 경주시,118441,2809640.102,,,,,,
경북 고령군,16232,2275261.48,,,,,,
경북 구미시,175669,3015863.434,,,,,,
경북 군위군,12890,2506243.416,,,,,,
경북 김천시,65161,2794686.019,,,,,,
경북 남구,104767,2506243.416,,,,,,
경북 문경시,35346,2447524.686,,,,,,
경북 봉화군,16711,2454787.373,,,,,,
경북 북구,115257,2506243.416,,,,,,
경북 상주시,48381,2436973.733,,,,,,
경북 성주군,22774,2156397.927,,,,,,
경북 안동시,74589,2675641.588,,,,,,
경북 영덕군,20099,2247386.183,,,,,,
경북 영양군,8936,2544638.098,,,,,,
경북 영주시,49030,2644597.234,,,,,,
경북 영천시,51319,2380583.857,,,,,,
경북 예천군,26415,2788950.253,,,,,,
경북 울릉군,5442,3002235.982,,,,,,
경북 울진군,25225,2972178.775,,,,,,
경북 의성군,28078,2179426.182,,,,,,
경북 청도군,22456,2332451.948,,,,,,
경북 청송군,13866,2318384.914,,,,,,
경북 칠곡군,52686,2625286.487,,,,,,
경북 포항시,220024,3145045.065,,,,,,
경남 거제시,101792,3172343.858,,,,,,
경남 거창군,29555,2549722.394,,,,,,
경남 고성군,25872,2311653.169,,,,,,
경남 김해시,216604,2690278.24,,,,,,
경남 남해군,22645,2395944.494,,,,,,
경남 마산합포구,78800,2459909.879,,,,,,
경남 마산회원구,80604,2459909.879,,,,,,
경남 밀양시,51489,2357856.268,,,,,,
경남 사천시,52466,2728688.884,,,,,,
경남 산청군,19015,2447399.068,,,,,,
경남 성산구,85552,2459909.879,,,,,,
경남 양산시,144650,2628961.709,,,,,,
경남 의령군,14557,2457529.206,,,,,,
경남 의창구,106286,2459909.879,,,,,,
경남 진주시,148805,2888687.88,,,,,,
경남 진해구,79720,2459909.879,,,,,,
경남 창녕군,31471,2401842.105,,,,,,
경남 창원시,430962,3038325.503,,,,,,
경남 통영시,59411,2350392.707,,,,,,
경남 하동군,23679,2462290.552,,,,,,
경남 함안군,30901,2493266.298,,,,,,
경남 함양군,20415,2378734.277,,,,,,
경남 합천군,24184,2454718.624,,,,,,
제주특별자치도 서귀포시,83650,2439200.335,,,,,,
제주특별자치도 제주시,209070,2549652.572,,,,,,
