,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
69,13.0,2.0,2.0,14.0,5.0,20.0,6.0,27.0,3725125.086,135140.0
70,2.0,2.0,1.0,2.0,0.0,2.0,2.0,8.0,3359765.5889999997,65216.0
71,3.0,1.0,1.0,4.0,4.0,12.0,6.0,19.0,3764093.4489999996,80803.0
72,3.0,2.0,1.0,1.0,2.0,5.0,2.0,12.0,3228054.7610000004,93842.0
73,6.0,2.0,1.0,5.0,1.0,3.0,4.0,15.0,3467872.873,93071.0
74,7.0,3.0,3.0,8.0,4.0,0.0,4.0,17.0,3452126.0689999997,134616.0
75,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2474623.726,30711.0
76,3.0,6.0,2.0,33.0,9.0,21.0,17.0,0.0,3081201.329,432730.0
77,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,4461667.137,21398.0
78,1.0,0.0,4.0,9.0,3.0,7.0,6.0,10.0,2870464.901,126096.0
79,1.0,0.0,5.0,2.0,0.0,3.0,6.0,10.0,2433615.779,156379.0
80,0.0,1.0,1.0,3.0,3.0,12.0,3.0,15.0,2725997.92,79667.0
81,1.0,1.0,0.0,4.0,1.0,10.0,6.0,8.0,2989044.14,109645.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,152592.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,164299.0
84,2.0,1.0,0.0,9.0,4.0,22.0,4.0,21.0,2777451.137,173966.0
85,0.0,7.0,8.0,7.0,3.0,8.0,9.0,39.0,2575302.768,275986.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,129975.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,194961.0
88,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2134931.245,42971.0
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,121671.0
90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,101356.0
91,4.0,8.0,2.0,14.0,3.0,22.0,9.0,49.0,2541060.805,339962.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750713.526,189907.0
